date,Greek Risk,k,Delta,Gamma,Vega,Rho,Simulated Value P&L
2019/4/2,9.423357082,1.27854731,0.104172912,0.057627095,-11.73759046,-11.30511414,-1.576754
2019/4/3,-2.488556406,1.287894283,0.13053059,0.06387209,-11.43539755,-11.3239501,-0.180860742
2019/4/4,-9.506797931,1.24909708,0.106765232,0.059126141,-12.06216183,-11.40543608,0.245634594
2019/4/5,-3.312744734,1.237067399,0.094340834,0.057180947,-12.25188443,-11.44366549,0.79364676
2019/4/8,5.576086549,1.215237547,0.085616146,0.052833841,-12.54044199,-11.39672855,-0.526159928
2019/4/9,11.48441304,1.21773772,0.093978958,0.05493747,-12.38848458,-11.2779842,-2.604800428
2019/4/10,-0.764772934,1.16542085,0.069105493,0.049028256,-13.14734952,-11.30961349,0.311363391
2019/4/11,-0.006813418,1.156227348,0.065315293,0.047020459,-13.26494639,-11.29229529,-0.893354493
2019/4/12,-18.85330001,1.059613878,0.013847522,0.036438298,-14.82230671,-11.48018568,1.075676047
2019/4/15,2.511272316,1.048194597,0.010396416,0.032773859,-14.97840032,-11.47101657,-0.764280661
2019/4/16,-4.709237952,1.054276822,0.017127326,0.035791111,-14.93135505,-11.51589573,-0.325431516
2019/4/17,0.277747044,1.066408355,0.023651682,0.035313017,-14.7520157,-11.49512721,0.408443161
2019/4/18,-8.562393537,1.093116898,0.03402084,0.039841785,-14.41908811,-11.56275752,0.662501427
2019/4/22,3.741177142,1.078964146,0.02808362,0.034802618,-14.6113162,-11.55654203,0.115967673
2019/4/23,-11.08229691,1.103294804,0.038785212,0.041989554,-14.32537918,-11.65723247,0.739039667
2019/4/24,3.516289417,1.141037467,0.061230464,0.045357423,-13.73481373,-11.59110853,0.791313775
2019/4/25,9.448486507,1.108316066,0.0481358,0.040681877,-14.14860858,-11.55451324,-1.06379257
2019/4/26,-6.351171767,1.085324646,0.034829253,0.042067033,-14.52872619,-11.65832977,-0.468857693
2019/4/29,-0.392390366,1.152920926,0.076458289,0.049483449,-13.57190333,-11.60043453,0.460091847
2019/4/30,-2.361124426,1.21237389,0.107611369,0.062429764,-12.7150093,-11.6220821,0.658509929
2019/5/1,10.17511848,1.258805561,0.137738837,0.067006988,-11.97003602,-11.52415523,-0.40693293
2019/5/2,7.106882515,1.256712069,0.136610472,0.070109159,-11.9509662,-11.48441252,-0.392653772
2019/5/3,-11.95200933,1.253066867,0.134479455,0.069988704,-12.10050405,-11.57780122,0.896223136
2019/5/6,4.466449967,1.278967444,0.152811626,0.068347881,-11.72075929,-11.51424807,-0.900704656
2019/5/7,23.21309492,1.411368518,0.224119552,0.07493533,-9.611367195,-11.20143453,-2.067213769
2019/5/8,0.047724442,1.392849531,0.217118499,0.074166128,-9.886150263,-11.21725372,0.035343441
2019/5/9,6.773348553,1.444254708,0.236034131,0.079859601,-9.049587599,-11.13858652,-1.20641633
2019/5/10,-4.949404065,1.500617802,0.249376252,0.091635533,-8.271851982,-11.24469389,-0.23686558
2019/5/13,22.01573602,1.564735727,0.278421857,0.087290188,-7.159171265,-10.90571747,-3.464122094
2019/5/14,-7.418745674,1.562755309,0.284209667,0.093125901,-7.277962169,-11.02861707,0.645653252
2019/5/15,-4.342082989,1.517896295,0.264011275,0.093196579,-7.955456622,-11.10630949,0.116991082
2019/5/16,-9.524001007,1.47960247,0.236078807,0.097996869,-8.536153345,-11.23964608,0.547559576
2019/5/17,3.385434658,1.513641791,0.249246421,0.09784648,-8.012378981,-11.18225357,-0.53625546
2019/5/20,3.194235328,1.523090256,0.258256839,0.094568259,-7.867488047,-11.12627517,-0.258681177
2019/5/21,-8.684994617,1.472397756,0.231234929,0.093030118,-8.661559691,-11.27538987,0.166739863
2019/5/22,4.679999233,1.440356014,0.215738531,0.086886377,-9.093674899,-11.22811134,-0.331024437
2019/5/23,11.4333837,1.496812117,0.245595633,0.088515019,-8.173712052,-11.0495282,-0.863362875
2019/5/24,-3.287489683,1.574432213,0.279050119,0.100846571,-7.08631516,-11.09266084,0.526601694
2019/5/28,7.653168369,1.62075949,0.302979367,0.097678717,-6.38260519,-10.95461551,-0.937067903
2019/5/29,6.764840544,1.6337457,0.309729553,0.096082853,-6.14514717,-10.85256734,-0.917898997
2019/5/30,-1.704313442,1.59170503,0.290342982,0.092643976,-6.749309773,-10.89141035,-0.42781531
2019/5/31,10.45640139,1.63396087,0.311147016,0.091829996,-6.040439542,-10.69966862,-0.98472358
2019/6/3,-8.339399471,1.667992593,0.295042679,0.088013704,-5.786417587,-10.71202591,-0.38063263
2019/6/4,-15.05725284,1.616649007,0.294496987,0.092853799,-6.173049267,-10.97332193,2.340205972
2019/6/5,-7.120990395,1.590818465,0.27738147,0.09071846,-6.573239963,-11.06924891,0.787768355
2019/6/6,-5.212651269,1.610304143,0.282078567,0.092784742,-6.350821713,-11.16806032,0.560361119
2019/6/7,-8.424595608,1.615420336,0.28260584,0.095005298,-6.329158316,-11.29221993,1.283623852
2019/6/10,-2.516732601,1.602908563,0.275822025,0.091624608,-6.541058182,-11.32139036,0.401447571
2019/6/11,0.680421381,1.599486969,0.27503429,0.091060665,-6.597316735,-11.31318797,-0.049544629
2019/6/12,1.464811417,1.584564807,0.266768439,0.089852996,-6.79841454,-11.30841201,-0.18077736
2019/6/13,-3.74646418,1.562704142,0.251199019,0.091081304,-7.128593876,-11.37390149,0.498841616
2019/6/14,0.104769155,1.602047445,0.264453218,0.090559228,-6.516322039,-11.33369076,0.301459861
2019/6/17,-1.075045361,1.558472779,0.23864852,0.086388499,-7.159476256,-11.3653585,0.288650933
2019/6/18,-15.11644115,1.475250443,0.197243674,0.076831329,-8.489805296,-11.54932697,1.697382944
2019/6/19,-1.562020814,1.475739215,0.198173087,0.076122193,-8.497256576,-11.56443837,0.56090611
2019/6/20,-10.90993632,1.498493427,0.209703138,0.07916984,-8.224947342,-11.6673341,1.375594982
2019/6/21,1.175272219,1.545525908,0.233793381,0.085602413,-7.507183435,-11.64043596,0.390229565
2019/6/24,-0.119033077,1.50844796,0.217699499,0.081364778,-8.072146584,-11.64801266,0.001643487
2019/6/25,7.462807674,1.529688568,0.230242022,0.081136905,-7.715250066,-11.54892382,0.002350983
2019/6/26,0.591885956,1.495510807,0.216304868,0.076030152,-8.225007665,-11.54259371,0.077144065
2019/6/27,1.091054313,1.494003464,0.216016073,0.075705202,-8.258832983,-11.54303977,0.015644058
2019/6/28,-4.011240051,1.466759409,0.200846045,0.07498666,-8.668615463,-11.60588033,0.785524669
,,,,,,,
